id,comment_text,toxic
e617e2489abe9bca,"""

 A barnstar for you! 

  The Defender of the Wiki Barnstar I like your edit on the Kayastha page. Lets form a solidarity group against those who malign the article and its subject matter. I propose the folloing name for the group.

United intellectuals' front of Kayastha ethinicty against racist or castist abuse (UIFKEARCA)   """,0
9250cf637294e09d,"""

This seems unbalanced.  whatever I have said about Mathsci, he has said far more extreme and unpleasant things about me (not to mention others), and with much greater frequency.  I'm more than happy to reign myself in, if that's what you'd like (ruth be told, I was just trying to get Mathsci to pay attention and stop being uncivil).  I would expect you to issue the same request to Mathsci.  

 If this is intentionally unbalanced (for whatever reason), please let me know, and I will voluntarily close this account and move on to other things.  I like wikipedia, and I have a lot to contribute in my own way, but there is no point contributing to the project if some editors have administrative leave to be aggressively rude.  I'm a good editor, and I don't really deserve to have people riding my ass every time I try to do certain things.  I'll happily leave it in the hands of the drama-prone, if that's what you think is best.  Ludwigs2 """,0
ce1aa4592d5240ca,"Marya Dzmitruk was born in Minsk, Belarus in March 19, 1992. Her mother, Olga Nikolaevna Moroz was born in Baranovichi, Belarus and her father was born in Brest, Belarus. She is second child in the family. Her parents divorced in 1998 and soon after her father remarried and had two more children. 
Marya, at the age of 4 began doing gymnastics, but quit two years later because she was denied a medal in a competition, where her age was incorrectly marked. When she turned 6 years old, she got admitted to Music School #4 in Minsk, class of violin, and to Public School #66 with piano classes as a main course. At the age of 11, Marya starred in Belarusfilm movie called “Dunechka”. Soon after she started to play in theatre and was featured in television shows. By 2005 her mother decided to move to United States. In September of 2005 Marya went to her first American school, Ingrid B. Lacy Middle School. She graduated in Spring 2006 and traveled back to Belarus for 2 months. In August 2006 she went to Oceana High School, from which she will graduate in 2010. 

Marya Dzmitruk is a member of ISAR (International Society for Astrological Research), also a member of a non-profit government organization which deals with human rights abuse throughout the world (also known as Helsinki Committee). Marya holds two diplomas from music schools, four scholarships for Lisa Spector’s Music school and several awards from YLI (Youth Leadership Institute). 

Marya has a very close relationship with her mother. Her personal life is “as happy as it could possibly get” a source says. She is currently dating Alex K., from Odessa, Ukraine. 

Marya currently attends school and works for ISAR and Helsinki Committee at her own free time.",0
48105766ff7f075b,"""

Talkback

 Dear Celestia...  """,0
0543d4f82e5470b6,"New Categories 

I honestly think that we need to add some more categories and move some characters into these new categories. Like, characters such as Pete Ross or Whitney Fordman who haven't been on the show in a while, and are listed as main characters? That just doesn't make sense. Perhaps creating a deceased/former characters section? I'll start doing it now. If anyone has a problem, please post it in this discussion.",0
96edafb4c4e924d7,Looks like it is my spaces. I guess I will start filtering for spaces as well. Was trying not to do that cause it will bring in so many more hits. But will do what we must. ) -,0
cceb447b08a25216,"""

I would be willing to continue the plan if the plan is followed. However, currently it is being used to harass and abuse me. The way it is now a few editors can repeatedly harass me through the plan because they dislike or disagree with my opinion. I am being held to a higher standards than other editors and punished if I err in situations where others are not punished or even warned for the same or worse behavior. — (Talk) """,0
f5bbfd1f588f1a53,loser - you can't block me forever you admin ego hippie freak,1
a238eb61fa81da30,"YOU CANNOT BLOCK ME. IF YOU BLOCK ME, I WILL CALL YOU A DUMBHEAD!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",1
e2d7c6046aed7161,I had not seen the source Gwern used. I ran across only sites like this which would have been inappropriate to use as a source.,0
b3273b32f468307a,"""

 Hello Rick 

Hope all is well. I notice you've been editing occasionally, but the bot hasn't been updating LOA (admin list). Is everything ok with the bot? '''' message'' """,0
1d8dfd6ed9602ee5,"of course, here you go [1] [2] [3] [4] What kind of references are you looking for?

THANK YOU!
Nr 3 is perfect. Than we have both Gyulai and Csabai. The problem is that I never discovered how to add files to the article...",0
5eed9433d992ed17,"put a bigger delay in please 

Even if I try to zoom back seconds later to fix my failure, I get ECed.  Make a longer delay please (bot is annoying enough).71.127.137.171",0
724e2f35ad65d996,"YES/ Poland and Lithuania define marriage as a union between a man and a woman in thay constitutions just as several other countries in Europe e.g. Spain, France etc. They are not mentioned here. Why? 
And Latvia not only define marriage as a union between a man and a woman in its civil law and constitution (since 2006) but also bans same sex marriages in those acts. So it is the only country in Europe to do so. (first to BANN same sex marriage, and NOT third to define marriage...)
This article sugests that Poland and Lithuania do the same. and this is not truth! So, I say about it. In my opinion, it should to be corrected.",0
2f0b95e0fb11f83d,"""

 Brilliant 
You really are brilliant. That's 12 we've got on the software. You must have the Bill Evans Conversations With Myself. Ripper John - you're better than we thought.  — Preceding unsigned comment added by  (talk • contribs)  """,0
631cb43f93f16031,"""
Note: While undue weight is a legitimate concern, notability is not a limitation on the content of an article, only on the subject of article. If something related to an individual is reported on in reliable secondary sources, you can be relatively certain it is of sufficient relevance to the individual to merit mention., article length permittingSkomorokh """,0
e5bf9fa72a64c334,"Theres a fucking wiki page on it you insane person.

http://en.wikipedia.org/wiki/Mutilation",1
